season,club_name,avg(attacking_short_passing),avg(shooting),avg(power_stamina),avg(skill_long_passing),avg(power_strength),avg(defending_standing_tackle),avg(skill_fk_accuracy),avg(skill_dribbling),avg(dribbling),avg(pace),avg(mentality_aggression),avg(movement_reactions),avg(movement_sprint_speed),avg(passing),avg(movement_acceleration),avg(attacking_heading_accuracy),avg(attacking_finishing),avg(defending),avg(attacking_crossing),avg(power_long_shots),avg(mentality_penalties),avg(power_shot_power),avg(physic),avg(skill_ball_control),year,league,club_name_ext,points,place
18,ADO Den Haag,62.80952380952381,53.23809523809524,64.0952380952381,56.76190476190476,67.9047619047619,53.333333333333336,48.57142857142857,62.19047619047619,62.61904761904762,64.71428571428571,62.523809523809526,62.04761904761905,64.0952380952381,58.333333333333336,65.61904761904762,56.666666666666664,49.142857142857146,52.04761904761905,57.38095238095238,52.61904761904762,51.95238095238095,63.857142857142854,65.95238095238095,63.333333333333336,18,Holland Eredivisie,ADO Den Haag,45.0,9
16,Southampton,67.9,56.2,71.16666666666667,61.96666666666667,65.76666666666667,56.5,54.766666666666666,67.46666666666667,68.63333333333334,71.13333333333334,61.43333333333333,66.6,71.23333333333333,63.2,71.23333333333333,58.833333333333336,53.1,54.36666666666667,60.13333333333333,56.86666666666667,58.7,62.06666666666667,66.33333333333333,69.7,16,English Premier League,Southampton,46.0,8
16,Chievo Verona,66.11538461538461,56.19230769230769,66.15384615384616,60.23076923076923,67.26923076923077,54.96153846153846,49.69230769230769,66.34615384615384,66.84615384615384,64.5,57.92307692307692,65.42307692307692,66.46153846153847,60.15384615384615,62.19230769230769,64.34615384615384,48.84615384615385,54.26923076923077,58.76923076923077,59.30769230769231,56.73076923076923,69.92307692307692,65.1923076923077,69.34615384615384,16,Italian Serie A,Chievo Verona,43.0,14
17,Athletic Club de Bilbao,73.76,59.84,68.28,66.6,71.48,66.04,53.6,67.2,69.32,66.32,69.08,73.28,66.64,67.16,65.76,66.88,57.12,61.76,64.08,61.0,55.88,67.2,70.12,74.72,17,Spain Primera Division,Athletic Club de Bilbao,43.0,16
15,Manchester United,72.26086956521739,60.04347826086956,74.82608695652173,67.91304347826087,67.43478260869566,61.130434782608695,57.95652173913044,71.52173913043478,71.8695652173913,70.3913043478261,67.34782608695652,75.04347826086956,69.52173913043478,68.26086956521739,71.17391304347827,63.73913043478261,57.130434782608695,59.52173913043478,66.08695652173913,59.73913043478261,60.608695652173914,66.3913043478261,69.47826086956522,73.47826086956522,15,English Premier League,Manchester United,66.0,5
19,Manchester United,73.4,61.666666666666664,71.9,67.53333333333333,69.6,64.66666666666667,56.63333333333333,72.46666666666667,72.46666666666667,73.73333333333333,71.83333333333333,73.46666666666667,74.46666666666667,68.9,72.76666666666667,66.56666666666666,58.0,63.7,67.06666666666666,61.5,59.43333333333333,70.53333333333333,70.6,73.2,19,English Premier League,Manchester United,66.0,3
19,Hertha BSC,68.56666666666666,57.96666666666667,66.1,59.46666666666667,66.76666666666667,55.86666666666667,45.833333333333336,69.33333333333333,69.6,70.23333333333333,61.03333333333333,67.96666666666667,70.4,62.166666666666664,70.1,61.06666666666667,57.36666666666667,55.9,60.266666666666666,52.5,54.2,66.6,65.56666666666666,70.46666666666667,19,German 1. Bundesliga,Hertha BSC,41.0,10
15,Bournemouth,66.34615384615384,54.19230769230769,71.65384615384616,59.46153846153846,68.0,55.92307692307692,51.92307692307692,66.61538461538461,67.65384615384616,72.61538461538461,63.5,65.07692307692308,71.46153846153847,61.38461538461539,74.07692307692308,60.0,52.0,54.84615384615385,59.53846153846154,53.34615384615385,55.92307692307692,60.84615384615385,68.0,68.73076923076923,15,English Premier League,Bournemouth,42.0,16
20,FC Girondins de Bordeaux,67.84,55.8,67.48,59.0,69.36,54.36,50.08,67.08,67.08,64.32,63.76,68.88,65.64,61.28,62.64,66.68,53.56,54.76,57.72,54.52,56.24,62.08,67.92,68.24,20,French Ligue 1,FC Girondins de Bordeaux,45.0,12
15,Watford,67.12,55.48,70.36,60.8,70.92,59.6,49.88,63.92,65.52,70.32,64.04,68.0,70.12,61.08,70.52,63.0,51.36,56.96,58.4,56.44,54.68,65.12,69.28,67.68,15,English Premier League,Watford,45.0,13
16,West Ham United,65.63333333333334,59.96666666666667,72.03333333333333,60.666666666666664,71.76666666666667,54.36666666666667,51.1,66.6,68.0,73.63333333333334,66.06666666666666,68.0,73.83333333333333,61.5,73.16666666666667,65.83333333333333,57.166666666666664,53.766666666666666,58.7,59.4,57.86666666666667,68.9,70.6,69.73333333333333,16,English Premier League,West Ham United,45.0,11
15,1. FC Köln,68.52380952380952,58.142857142857146,70.66666666666667,58.523809523809526,68.14285714285714,54.42857142857143,49.80952380952381,65.19047619047619,67.33333333333333,71.61904761904762,64.38095238095238,70.52380952380952,71.52380952380952,62.095238095238095,71.66666666666667,62.095238095238095,55.476190476190474,53.0,58.76190476190476,55.333333333333336,58.95238095238095,67.23809523809524,68.0,70.04761904761905,15,German 1. Bundesliga,1. FC Köln,43.0,9
18,AS Saint-Étienne,66.72,56.28,68.24,61.12,65.04,55.16,52.96,63.8,64.96,68.6,60.48,64.08,67.96,62.04,69.48,60.92,53.76,54.08,59.16,55.16,57.48,63.88,64.88,65.36,18,French Ligue 1,AS Saint-Étienne,66.0,4
16,SC Heerenveen,62.074074074074076,50.333333333333336,66.77777777777777,56.925925925925924,66.4074074074074,53.2962962962963,45.25925925925926,63.2962962962963,64.51851851851852,66.0,61.629629629629626,63.03703703703704,65.62962962962963,56.55555555555556,66.14814814814815,56.0,47.333333333333336,53.370370370370374,51.77777777777778,48.666666666666664,51.55555555555556,58.51851851851852,65.51851851851852,66.03703703703704,16,Holland Eredivisie,SC Heerenveen,43.0,9
14,Sporting Club de Bastia,65.06666666666666,55.6,64.76666666666667,56.3,64.06666666666666,48.06666666666667,46.86666666666667,61.7,63.2,67.03333333333333,59.1,63.53333333333333,66.56666666666666,59.233333333333334,67.6,60.06666666666667,53.9,48.3,56.53333333333333,54.2,57.03333333333333,60.733333333333334,63.333333333333336,65.1,14,French Ligue 1,Sporting Club de Bastia,47.0,12
17,Stade Rennais FC,66.51724137931035,56.93103448275862,67.48275862068965,57.758620689655174,64.20689655172414,56.275862068965516,48.6551724137931,67.27586206896552,67.79310344827586,69.82758620689656,62.3448275862069,64.3103448275862,69.96551724137932,61.44827586206897,69.48275862068965,59.241379310344826,54.41379310344828,55.0,60.0,56.62068965517241,56.793103448275865,63.758620689655174,64.65517241379311,68.06896551724138,17,French Ligue 1,Stade Rennais FC,58.0,5
17,Swansea City,68.65517241379311,56.275862068965516,69.72413793103448,60.37931034482759,70.24137931034483,58.206896551724135,47.0,64.65517241379311,66.10344827586206,66.06896551724138,61.96551724137931,66.55172413793103,66.24137931034483,61.03448275862069,66.0,60.689655172413794,55.10344827586207,56.0,55.206896551724135,52.758620689655174,55.793103448275865,63.58620689655172,68.3103448275862,68.37931034482759,17,English Premier League,Swansea City,33.0,18
17,Eintracht Frankfurt,68.96666666666667,58.5,68.93333333333334,61.6,72.26666666666667,58.266666666666666,52.0,68.0,68.73333333333333,70.7,64.4,68.66666666666667,70.5,63.03333333333333,70.93333333333334,62.63333333333333,55.93333333333333,55.666666666666664,59.46666666666667,57.2,55.2,66.83333333333333,69.56666666666666,70.3,17,German 1. Bundesliga,Eintracht Frankfurt,49.0,8
15,VfB Stuttgart,68.1923076923077,56.07692307692308,68.26923076923077,59.61538461538461,66.61538461538461,56.46153846153846,51.76923076923077,64.46153846153847,66.23076923076923,69.38461538461539,63.92307692307692,67.73076923076923,69.92307692307692,62.0,68.76923076923077,60.5,53.30769230769231,54.92307692307692,59.80769230769231,52.42307692307692,57.03846153846154,66.11538461538461,66.53846153846153,68.15384615384616,15,German 1. Bundesliga,VfB Stuttgart,33.0,17
